cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
10100,"Aberdeen, SD Micro Area",42608,38096,631,1020,992,0.894104393541119,0.01480942546000751,0.02393916635373639,0.02328201276755539,0.9309176721348913,0.7344827586206897,0.6438356164383562,0.6933638443935927,0.2853880409545922,0.29310344827586204,0.4703196347031963,0.2700228832951945,370,1621,0.05745781936764498,0.2282541640962369,0.07041938906572849,54533,56200,NA,42845,54100,0.105,0.079,0.221,0.33399999999999996,0.1,0.312,0.213,0.111,0.19899999999999998,0.085,0.284,0.9199999999999999,0.6890000000000001,0.693,0.586,0.7170000000000001,0.6990000000000001,0.675,0.682,0.586,0.691,0.599,0.018000000000000002,0.015,0,0.037000000000000005,0.14400000000000002,36645,30379,41918,47557,22465,20667.8,224.65,471.765,404.37,51,19.992,0,31.007999999999996,0,0.002270198085911418,9.673017931274737e-4,0,0.06572763982067342,0
10140,"Aberdeen, WA Micro Area",71454,57064,686,6978,1130,0.7986116942368516,0.009600582192739385,0.0976572340246872,0.015814370084250007,0.9108432626397387,0.8879736408566722,0.8571428571428571,0.5764443025853814,0.15625431292266642,0.026359143327841845,0.3739130434782609,0.0906479412703479,543,3127,0.061076604554865424,0.17364886472657498,0.0743142144638404,45483,46127,NA,58636,36811,0.16,0.146,0.235,0.047,0.223,0.33299999999999996,0.28600000000000003,0.11599999999999999,0.10099999999999999,0.05,0.151,0.886,0.52,0.505,0.09300000000000001,0.6809999999999999,0.691,0.466,0.457,0.087,0.667,0.596,0.10099999999999999,0.09300000000000001,0.063,0,0.135,31492,27610,53552,63750,26590,21644.26,53.18,638.16,2499.46,233,171.02200000000002,3.961,0,54.988,0.008762692741632192,0.007901494437786278,0.07448288830387363,0,0.02199995198962976
10180,"Abilene, TX Metro Area",169000,110168,13111,38892,2704,0.6518816568047338,0.07757988165680474,0.2301301775147929,0.016,0.9158558219546286,0.7836946874603778,0.8062610750147667,0.684149800490361,0.2615982152456725,0.11766197540256118,0.36975782634376847,0.07312148454401231,1706,8563,0.08048461834895153,0.19922924208805326,0.05239444085540592,48156,52962,37161,45703,39359,0.16,0.124,0.24600000000000002,0.172,0.243,0.321,0.251,0.071,0.147,0.068,0.215,0.858,0.601,0.602,0.515,0.63,0.636,0.5479999999999999,0.5539999999999999,0.445,0.5710000000000001,0.583,0.044000000000000004,0.04,0.040999999999999995,0.042,0.05,31790,26712,42629,61860,75679,51915.793999999994,5221.851000000001,1437.901,16195.305999999999,419,206.14800000000002,134.918,10.056,39.805,0.005536542501882953,0.003970814738959786,0.025837198342120445,0.006993527370799519,0.002457810923733087
10220,"Ada, OK Micro Area",38289,25384,796,1944,298,0.6629580297213299,0.020789260623155476,0.05077176212489227,0.007782914152889864,0.8971674198170395,0.9082217973231358,1,0.575,0.30337264410889453,0.1988527724665392,0.39156626506024095,0.13369565217391305,195,1271,0.05134108902892228,0.15342250196695514,0.054437706725468576,46689,51630,31464,25938,32721,0.17300000000000001,0.132,0.218,0.374,0.337,0.335,0.221,0.049,0.175,0.106,0.28099999999999997,0.8860000000000001,0.603,0.584,0.524,0.302,0.728,0.5720000000000001,0.56,0.52,0.302,0.675,0.051,0.04,0.008,0,0.073,32999,28788,39054,45553,16951,11747.043,355.971,84.755,796.697,115,73.945,8.05,21.045,0,0.0067842605156037995,0.006294775629918099,0.022614201718679332,0.24830393487109909,0
10260,"Adjuntas, PR Micro Area",18525,59,0,18459,0,0.003184885290148448,0,0.9964372469635627,0,0.7317073170731707,0.7553191489361702,NaN,0.631063321385902,0.07317073170731707,0.24468085106382978,NaN,0.1819195539625647,NA,NA,NA,NA,0.190074602659747,11680,NA,NA,NA,11754,0.6409999999999999,1,0.718,NA,0.6409999999999999,0.247,0.145,0.057999999999999996,0.14800000000000002,0.034,0.18200000000000002,0.632,0.42200000000000004,0,0.6629999999999999,NA,0.424,0.25,0,0.52,NA,0.251,0.409,NA,0.215,NA,0.409,15901,13740,21962,33542,3697,0,51.757999999999996,0,3697,0,NA,NA,NA,NA,0,NA,NA,NA,NA
10300,"Adrian, MI Micro Area",98585,85780,2324,7660,268,0.8701120860171425,0.02357356595831009,0.07769944717756251,0.002718466298118375,0.9194009261996255,0.7778473091364205,0.9352226720647774,0.7785679254536537,0.2121062830492331,0.07571964956195244,0.6761133603238867,0.11059342815105444,549,2942,0.04335332517941085,0.18660774983004758,0.051711924439197164,51339,52346,34500,110357,40335,0.13699999999999998,0.121,0.205,0.095,0.273,0.369,0.248,0.086,0.134,0.07200000000000001,0.20600000000000002,0.909,0.59,0.594,0.332,0.55,0.639,0.555,0.562,0.305,0.51,0.5770000000000001,0.059000000000000004,0.053,0.08199999999999999,0.07200000000000001,0.096,32596,27733,44628,55208,43557,39070.629,609.798,130.671,3048.99,150,136.95,6,0,7.05,0.00344376334458296,0.0035051905614317085,0.0098393238416656,0,0.0023122411027914165
10380,"Aguadilla-Isabela, PR Metro Area",315100,4824,335,307335,224,0.015309425579181213,0.0010631545541098064,0.9753570295144398,7.108854331958109e-4,0.849189754312598,0.6834777667282285,0.7553846153846154,0.6689964702307207,0.3240982749607946,0.19647677226878818,0.25384615384615383,0.19393627714532832,NA,NA,NA,NA,0.1592815668993417,15769,19615,15222,9286,15609,0.531,0.413,0.547,0.7609999999999999,0.5329999999999999,0.272,0.11900000000000001,0.085,0.15,0.047,0.197,0.673,0.401,0.495,0.406,0.5329999999999999,0.397,0.308,0.45799999999999996,0.31,0.39,0.303,0.23199999999999998,0.075,0.235,0.235,0.23600000000000002,15864,13180,22136,31022,77733,2021.0580000000002,2487.456,310.932,74545.947,251,0,9.036,0,251,0.00322900183963053,0,0.003632627069584346,0,0.0033670509276647865
10420,"Akron, OH Metro Area",703398,567106,84329,13318,19170,0.8062377203233447,0.11988802925228675,0.018933804190515185,0.0272534184060802,0.9263705036060342,0.8725704450074458,0.7649235323137642,0.7969098202347348,0.3209234222516222,0.1717949213839519,0.45444828153264266,0.31005794087059874,8389,19828,0.04125247061271195,0.4230885616300182,0.08208141528385964,53418,57515,30021,56813,49667,0.138,0.105,0.315,0.147,0.187,0.326,0.196,0.084,0.196,0.11199999999999999,0.308,0.9139999999999999,0.645,0.65,0.624,0.583,0.645,0.603,0.614,0.539,0.5529999999999999,0.5920000000000001,0.066,0.055,0.13699999999999998,0.05,0.08199999999999999,37254,30172,50790,67625,338434,284961.428,34181.834,8460.85,5414.944,5100,2295,2550,61.2,76.5,0.015069407920008037,0.00805372157245085,0.07460102930697048,0.007233315801603858,0.014127569925007534
10460,"Alamogordo, NM Micro Area",65130,32428,2015,24415,759,0.49789651466298174,0.03093812375249501,0.3748656533087671,0.011653615845232612,0.9310016161783597,0.9279069767441861,0.8313253012048193,0.6952647470358642,0.2390700758360615,0.21007751937984495,0.2306368330464716,0.0963252080418293,900,4008,0.09450824117522225,0.2245508982035928,0.06649194741514139,43533,48103,39340,NA,33580,0.214,0.131,0.152,0.258,0.315,0.28800000000000003,0.273,0.10099999999999999,0.102,0.081,0.183,0.845,0.5589999999999999,0.5539999999999999,0.6759999999999999,0.501,0.5379999999999999,0.462,0.462,0.386,0.325,0.475,0.09300000000000001,0.063,0.205,0.201,0.091,27050,26662,37311,55258,25718,14273.49,1028.72,308.616,8358.35,156,22.932,14.04,0,12.012,0.006065790496928221,0.001606614780267475,0.013648028618088497,0,0.001437125748502994
10500,"Albany, GA Metro Area",153776,64147,80972,4057,1598,0.4171457184476121,0.5265581104983873,0.026382530433877848,0.010391738632816564,0.8750457333476811,0.7860945116354959,0.8467507274490785,0.6682623264719961,0.22214570106531797,0.15885868124247926,0.41125121241513096,0.23456199138343706,1114,5873,0.05885123354109466,0.18968159373403712,0.10809451113732566,40612,56765,28950,57031,38189,0.257,0.133,0.355,0.171,0.366,0.308,0.23600000000000002,0.08800000000000001,0.11199999999999999,0.083,0.195,0.827,0.5820000000000001,0.5770000000000001,0.578,0.5760000000000001,0.723,0.506,0.537,0.47,0.5579999999999999,0.6559999999999999,0.126,0.066,0.184,0.028999999999999998,0.091,31476,27527,44606,53154,59786,28218.992000000002,28159.206000000002,657.6460000000001,1733.7939999999999,755,160.06,430.35,12.08,0,0.012628374535844512,0.005672066528811518,0.015282746253569792,0.018368544779410197,0
